bruises,cap-color,cap-shape,cap-surface,class,gill-attachment,gill-color,gill-size,gill-spacing,habitat,odor,population,ring-number,ring-type,spore-print-color,stalk-color-above-ring,stalk-color-below-ring,stalk-root,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,veil-color
t,e,x,y,e,f,u,b,c,d,n,v,o,p,k,w,p,b,t,s,s,w
f,n,f,s,e,f,h,b,w,g,n,s,o,e,n,w,w,e,t,s,f,w
t,e,x,f,e,f,w,b,c,d,n,y,o,p,k,p,p,b,t,s,s,w
t,n,f,y,e,f,p,b,c,d,n,y,o,p,k,g,g,b,t,s,s,w
t,g,x,y,e,f,u,b,c,d,n,v,o,p,k,p,g,b,t,s,s,w
f,g,x,s,e,f,p,b,w,g,n,a,o,e,n,w,w,e,t,s,s,w
f,n,x,s,e,f,k,b,w,g,n,s,o,e,k,w,w,e,t,f,s,w
f,g,x,f,e,f,p,b,w,g,n,a,o,e,n,w,w,e,t,f,f,w
f,g,x,s,e,f,n,b,w,g,n,a,o,e,k,w,w,e,t,s,s,w
t,g,f,f,e,f,w,b,c,d,n,y,o,p,n,p,w,b,t,s,s,w
t,e,x,y,e,f,w,b,c,d,n,y,o,p,k,w,p,b,t,s,s,w
t,n,f,f,e,f,n,b,c,d,n,y,o,p,k,p,w,b,t,s,s,w
f,n,x,f,e,f,k,b,w,g,n,s,o,e,n,w,w,e,t,f,f,w
f,n,f,s,e,f,n,b,w,g,n,s,o,e,n,w,w,e,t,s,f,w
f,w,x,f,e,f,n,b,w,g,n,s,o,e,k,w,w,e,t,s,s,w
t,y,x,y,e,f,p,b,c,p,a,s,o,p,n,w,w,r,e,s,y,w
t,e,x,f,e,f,u,b,c,d,n,v,o,p,n,w,p,b,t,s,s,w
f,n,x,f,e,f,h,b,w,g,n,s,o,e,k,w,w,e,t,f,s,w
t,n,x,y,e,f,p,b,c,d,n,v,o,p,k,w,g,b,t,s,s,w
t,g,f,f,e,f,n,b,c,d,n,y,o,p,n,w,p,b,t,s,s,w
t,n,x,f,e,f,p,b,c,d,n,y,o,p,n,w,g,b,t,s,s,w
f,w,x,f,e,f,p,b,w,g,n,a,o,e,n,w,w,e,t,s,f,w
t,w,x,s,e,f,n,b,c,m,a,n,o,p,k,w,w,c,e,s,s,w
f,g,f,s,e,f,n,b,w,g,n,s,o,e,n,w,w,e,t,f,s,w
t,n,f,y,p,f,n,n,c,g,p,v,o,p,n,w,w,e,e,s,s,w
f,g,f,f,e,f,p,b,w,g,n,s,o,e,n,w,w,e,t,f,s,w
t,n,x,f,e,f,n,b,c,d,n,v,o,p,n,p,w,b,t,s,s,w
f,w,x,f,e,f,n,b,w,g,n,s,o,e,n,w,w,e,t,s,f,w
t,n,x,y,e,f,u,b,c,d,n,v,o,p,k,p,w,b,t,s,s,w
t,e,x,y,e,f,p,b,c,d,n,v,o,p,n,p,p,b,t,s,s,w
