bruises,cap-color,cap-shape,cap-surface,class,gill-attachment,gill-color,gill-size,gill-spacing,habitat,odor,population,ring-number,ring-type,spore-print-color,stalk-color-above-ring,stalk-color-below-ring,stalk-root,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,veil-color
f,g,f,f,p,f,g,b,c,p,f,v,o,l,h,b,p,b,e,k,k,w
f,y,x,y,p,f,h,b,c,g,f,y,o,l,h,p,p,b,e,k,k,w
f,y,x,f,p,f,h,b,c,g,f,v,o,l,h,b,n,b,e,k,k,w
f,y,x,f,p,f,g,b,c,p,f,y,o,l,h,p,b,b,e,k,k,w
f,y,k,f,p,f,w,n,c,d,n,v,o,e,w,w,n,?,e,k,y,w
f,y,f,y,p,f,g,b,c,d,f,v,o,l,h,n,b,b,e,k,k,w
f,g,f,f,p,f,h,b,c,p,f,v,o,l,h,n,n,b,e,k,k,w
t,b,f,s,p,f,p,b,c,g,f,s,o,p,h,w,w,b,t,f,f,w
f,y,f,y,p,f,h,b,c,p,f,y,o,l,h,n,p,b,e,k,k,w
f,g,x,y,p,f,g,b,c,d,f,v,o,l,h,b,b,b,e,k,k,w
f,g,x,y,p,f,p,b,c,p,f,v,o,l,h,p,b,b,e,k,k,w
f,y,f,f,p,f,h,b,c,g,f,y,o,l,h,n,b,b,e,k,k,w
f,y,x,y,p,f,g,b,c,d,f,y,o,l,h,n,p,b,e,k,k,w
f,c,k,f,e,f,w,n,w,l,n,v,o,e,w,w,n,b,e,f,s,w
f,y,x,f,p,f,h,b,c,p,f,y,o,l,h,n,n,b,e,k,k,w
t,w,x,s,p,f,h,b,c,u,f,s,o,p,h,w,w,b,t,f,s,w
f,g,f,f,p,f,p,b,c,d,f,v,o,l,h,b,n,b,e,k,k,w
f,y,f,f,p,f,h,b,c,g,f,v,o,l,h,p,p,b,e,k,k,w
f,y,f,y,p,f,h,b,c,d,f,v,o,l,h,p,n,b,e,k,k,w
